iter	Logloss
0	0.6278715617
1	0.5758088211
2	0.5352618544
3	0.5012827287
4	0.4703764383
5	0.4402883038
6	0.4140457865
7	0.3865723523
8	0.366942988
9	0.3532818839
10	0.3435497168
11	0.3305130469
12	0.315563643
13	0.305692104
14	0.2925782426
15	0.2870985422
16	0.2804405104
17	0.2725360553
18	0.2675528381
19	0.2591241523
20	0.2536409699
21	0.2477770916
22	0.2428942636
23	0.2391305734
24	0.2326278532
25	0.2276482572
26	0.2225315489
27	0.2166124696
28	0.2103051424
29	0.2066507398
30	0.2033438228
31	0.1987108459
32	0.1940680575
33	0.1899586459
34	0.1869729992
35	0.1839451355
36	0.1805553475
37	0.1772851847
38	0.1738865603
39	0.1708271885
40	0.1682544886
41	0.1665159152
42	0.1632552079
43	0.1604663315
44	0.158526469
45	0.1564630195
46	0.1541310092
47	0.1522803935
48	0.1500553031
49	0.1482708604
50	0.1469747609
51	0.1451809401
52	0.1424571225
53	0.1401956492
54	0.1372344073
55	0.1353567096
56	0.1339495429
57	0.1315021321
58	0.1295661539
59	0.1285427395
60	0.1273086579
61	0.1252776914
62	0.1234869967
63	0.1220618474
64	0.1209343607
65	0.1192202307
66	0.1175404949
67	0.1159752929
68	0.1141105172
69	0.1123870633
70	0.1105392332
71	0.1092947598
72	0.1080371632
73	0.107050975
74	0.1058005435
75	0.1041450578
76	0.1028755296
77	0.1018348833
78	0.1002604502
79	0.09895196261
80	0.09768825322
81	0.09652407416
82	0.09494417821
83	0.09347951243
84	0.0925526648
85	0.09155200703
86	0.09023208309
87	0.08845155573
88	0.08677930232
89	0.08572103721
90	0.08447284196
91	0.08411959944
92	0.08282633195
93	0.08181897332
94	0.08054186993
95	0.0794187627
96	0.07814228607
97	0.07732136013
98	0.07571063709
99	0.07477810997
