iter	Passed	Remaining
0	108	10778
1	112	5490
2	115	3722
3	119	2857
4	123	2345
5	126	1986
6	129	1725
7	133	1530
8	136	1378
9	139	1256
10	142	1155
11	145	1069
12	148	996
13	152	936
14	155	880
15	158	834
16	161	789
17	164	748
18	167	716
19	171	684
20	174	656
21	177	629
22	180	603
23	183	581
24	187	561
25	190	541
26	193	523
27	196	504
28	199	488
29	203	474
30	206	459
31	209	444
32	211	430
33	215	417
34	218	405
35	221	394
36	224	382
37	227	370
38	230	359
39	233	349
40	236	339
41	238	329
42	241	319
43	244	310
44	247	302
45	250	293
46	252	285
47	255	276
48	258	268
49	261	261
50	264	253
51	267	246
52	270	239
53	273	232
54	275	225
55	278	219
56	281	212
57	284	205
58	287	199
59	289	193
60	292	187
61	295	181
62	298	175
63	301	169
64	303	163
65	306	158
66	310	152
67	313	147
68	316	142
69	319	136
70	322	131
71	324	126
72	327	121
73	330	116
74	333	111
75	335	106
76	338	101
77	341	96
78	344	91
79	347	86
80	350	82
81	352	77
82	355	72
83	358	68
84	361	63
85	364	59
86	366	54
87	369	50
88	372	46
89	375	41
90	377	37
91	380	33
92	383	28
93	386	24
94	388	20
95	391	16
96	394	12
97	397	8
98	399	4
99	402	0
